rule;side;dataset;field;filter;minus
Fechamento dos níveis das contas de controle *.1.1.4.3.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.4.3.');
Fechamento dos níveis das contas de controle *.1.1.4.3.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.4.3.');1
Fechamento dos níveis das contas de controle *.1.1.4.4.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.4.4.');
Fechamento dos níveis das contas de controle *.1.1.4.4.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.4.4.');1
Fechamento dos níveis das contas de controle *.1.1.4.4.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.4.4.');
Fechamento dos níveis das contas de controle *.1.1.4.4.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.4.4.');1
Fechamento dos níveis das contas de controle *.1.1.4.5.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.4.5.');
Fechamento dos níveis das contas de controle *.1.1.4.5.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.4.5.');1
Fechamento dos níveis das contas de controle *.1.1.4.5.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.4.5.');
Fechamento dos níveis das contas de controle *.1.1.4.5.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.4.5.');1
Fechamento dos níveis das contas de controle *.1.1.9.1.01.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.9.1.01.');
Fechamento dos níveis das contas de controle *.1.1.9.1.01.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.9.1.01.');1
Fechamento dos níveis das contas de controle *.1.1.9.1.01.;right;balver;saldo_atual_credito;conta_contabil.str.startswith('8.1.1.9.1.01.');
Fechamento dos níveis das contas de controle *.1.1.9.1.01.;right;balver;saldo_atual_debito;conta_contabil.str.startswith('8.1.1.9.1.01.');1
Fechamento dos níveis das contas de controle *.1.1.9.1.02.;left;balver;saldo_atual_debito;conta_contabil.str.startswith('7.1.1.9.1.02.');
Fechamento dos níveis das contas de controle *.1.1.9.1.02.;left;balver;saldo_atual_credito;conta_contabil.str.startswith('7.1.1.9.1.02.');1
